Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group
KEGG_2021_Human,Amoebiasis,3/102,0.0145721785315227,0.0687624674456227,0,0,6.185879412683536,26.15786422245009,PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Pancreatic secretion,3/102,0.0145721785315227,0.0687624674456227,0,0,6.185879412683536,26.15786422245009,PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Glucagon signaling pathway,3/107,0.0165478094013241,0.0757187642303015,0,0,5.886994448850119,24.14551684724853,GNAQ;PRKAG2;PLCB1,0
KEGG_2021_Human,Serotonergic synapse,3/113,0.0191074760635156,0.0848596731056134,0,0,5.564198687910028,22.021293400586597,PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Rap1 signaling pathway,4/210,0.0211917844453363,0.0914274128927368,0,0,3.983414239482201,15.352642923086638,SIPA1L1;PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Carbohydrate digestion and absorption,2/47,0.0231205576171507,0.0969778944497154,0,0,9.004535147392291,33.92038210413699,PRKCB;PLCB1,0
KEGG_2021_Human,Human cytomegalovirus infection,4/225,0.0264558956010552,0.1079686550205228,0,0,3.710218702865762,13.476539274667145,AKAP13;PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Dopaminergic synapse,3/132,0.0285811776295865,0.1128139341286487,0,0,4.740110285303285,16.851124783599985,PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Vascular smooth muscle contraction,3/133,0.0291373737153463,0.1128139341286487,0,0,4.703409992069786,16.630004784566133,PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Calcium signaling pathway,4/240,0.0324409620221395,0.1224646316335768,0,0,3.4717514124293785,11.902321305484534,PRKCB;GNAQ;PLCB1;SLC8A1,0
KEGG_2021_Human,Spinocerebellar ataxia,3/143,0.0350136640194193,0.1265975250594379,0,0,4.365243004418262,14.632368293402916,PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Notch signaling pathway,2/59,0.0352125566390489,0.1265975250594379,0,0,7.104547081990691,23.77431915410336,NUMB;MAML3,0
KEGG_2021_Human,Phospholipase D signaling pathway,3/148,0.0381645668105913,0.1309738542818022,0,0,4.21365090650551,13.761142392267727,GAB2;PLCB1;PIK3R5,0
KEGG_2021_Human,Retrograde endocannabinoid signaling,3/148,0.0381645668105913,0.1309738542818022,0,0,4.21365090650551,13.761142392267727,PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Cortisol synthesis and secretion,2/65,0.0419931324107679,0.1409102887561326,0,0,6.425979915775834,20.37195761072225,GNAQ;PLCB1,0
KEGG_2021_Human,Adipocytokine signaling pathway,2/69,0.0467626402187707,0.1502374185751996,0,0,6.041120925982333,18.501963939065423,PRKAG2;JAK2,0
KEGG_2021_Human,Renin secretion,2/69,0.0467626402187707,0.1502374185751996,0,0,6.041120925982333,18.501963939065423,GNAQ;PLCB1,0
KEGG_2021_Human,Pathways in cancer,6/531,0.0503035852229371,0.1582466951804896,0,0,2.3556231003039514,7.042556744390224,NCOA1;CSF3R;PRKCB;GNAQ;JAK2;PLCB1,0
KEGG_2021_Human,Leishmaniasis,2/77,0.0568570608364096,0.1752125752305686,0,0,5.394557823129252,15.467356382357153,PRKCB;JAK2,0
KEGG_2021_Human,Neutrophil extracellular trap formation,3/189,0.0691342274417198,0.2087853668739938,0,0,3.278017958097772,8.757898079454668,PRKCB;PLCB1;ATG7,0
KEGG_2021_Human,Hypertrophic cardiomyopathy,2/90,0.0746819496854827,0.2209879389112225,0,0,4.594619666048238,11.920818158765336,PRKAG2;SLC8A1,0
KEGG_2021_Human,Morphine addiction,2/91,0.0761192182371278,0.2209879389112225,0,0,4.542765420775051,11.699685676018186,GRK3;PRKCB,0
KEGG_2021_Human,Th1 and Th2 cell differentiation,2/92,0.0775653030615549,0.2209879389112225,0,0,4.492063492063492,11.484567093173029,MAML3;JAK2,0
KEGG_2021_Human,Phosphatidylinositol signaling system,2/97,0.0849237360045432,0.2372627057660934,0,0,4.254564983888292,10.49176426482804,PRKCB;PLCB1,0
KEGG_2021_Human,Choline metabolism in cancer,2/98,0.0864201908419545,0.2372627057660934,0,0,4.210034013605442,10.308411171595903,PRKCB;GPCPD1,0
KEGG_2021_Human,Chagas disease,2/102,0.0924846891098034,0.2493783581353628,0,0,4.040816326530612,9.62002061056518,GNAQ;PLCB1,0
KEGG_2021_Human,Pantothenate and CoA biosynthesis,1/21,0.0999597740324998,0.2648057171738152,0,0,10.04040404040404,23.1229243332888,DPYD,0
KEGG_2021_Human,Insulin resistance,2/108,0.1018050719773058,0.2650442391133307,0,0,3.81093569503273,8.70682707358352,PRKCB;PRKAG2,0
KEGG_2021_Human,Toxoplasmosis,2/112,0.1081575453020714,0.2768099888239456,0,0,3.6716141001855287,8.166280575904093,JAK2;PIK3R5,0
KEGG_2021_Human,beta-Alanine metabolism,1/30,0.1397095639188418,0.3516024025290853,0,0,6.921281783350749,13.622394510819325,DPYD,0
KEGG_2021_Human,Circadian rhythm,1/31,0.1440174715013112,0.3565022655196392,0,0,6.69023569023569,12.964476920040203,PRKAG2,0
KEGG_2021_Human,Autophagy,2/137,0.1499507080843318,0.3594056654084779,0,0,2.9879062736205597,5.669398730173793,VMP1;ATG7,0
KEGG_2021_Human,Yersinia infection,2/137,0.1499507080843318,0.3594056654084779,0,0,2.9879062736205597,5.669398730173793,GNAQ;ELMO1,0
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,2/143,0.1604167144707384,0.3784831857043984,0,0,2.859892893327544,5.233547895270227,JAK2;JARID2,0
KEGG_2021_Human,Aldosterone-regulated sodium reabsorption,1/37,0.1694200671801256,0.3935758483722918,0,0,5.57351290684624,9.895070145641316,PRKCB,0
KEGG_2021_Human,Primary immunodeficiency,1/38,0.1735806579316256,0.3971315052678102,0,0,5.422604422604422,9.495592558231127,PTPRC,0
KEGG_2021_Human,Cushing syndrome,2/155,0.1817247564919734,0.4095587795565371,0,0,2.633986928104575,4.49163798449718,GNAQ;PLCB1,0
KEGG_2021_Human,Ferroptosis,1/41,0.1859390303366049,0.4128940232474609,0,0,5.015151515151516,8.43717221072756,ATG7,0
KEGG_2021_Human,Hepatitis B,2/162,0.1943443078276657,0.4192284354568218,0,0,2.517857142857143,4.124561988604351,PRKCB;JAK2,0
KEGG_2021_Human,JAK-STAT signaling pathway,2/162,0.1943443078276657,0.4192284354568218,0,0,2.517857142857143,4.124561988604351,CSF3R;JAK2,0
KEGG_2021_Human,Wnt signaling pathway,2/166,0.2016063949356786,0.4248931497628767,0,0,2.4559482329517173,3.933048881238281,PRKCB;PLCB1,0
KEGG_2021_Human,MicroRNAs in cancer,3/310,0.2025980581650802,0.4248931497628767,0,0,1.9738406259444572,3.151298284847128,ZEB2;PRKCB;FOXP1,0
KEGG_2021_Human,Influenza A,2/172,0.2125577216442807,0.4396741913463888,0,0,2.3685474189675872,3.667794437782415,PRKCB;JAK2,0
KEGG_2021_Human,Glycosaminoglycan biosynthesis,1/53,0.233569272224541,0.4766075689987256,0,0,3.8554778554778553,5.606931137649977,CHST11,0
KEGG_2021_Human,Hedgehog signaling pathway,1/56,0.2450391435680432,0.4857396382635361,0,0,3.644628099173554,5.125576482532065,GRK3,0
KEGG_2021_Human,Pyrimidine metabolism,1/56,0.2450391435680432,0.4857396382635361,0,0,3.644628099173554,5.125576482532065,DPYD,0
KEGG_2021_Human,Transcriptional misregulation in cancer,2/192,0.2494084860677239,0.4857396382635361,0,0,2.117078410311493,2.939908923064224,JMJD1C;ETV6,0
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,2/193,0.2512596651458569,0.4857396382635361,0,0,2.105887381130463,2.908795592655987,JAK2;PIK3R5,0
KEGG_2021_Human,VEGF signaling pathway,1/59,0.256339055642632,0.4857396382635361,0,0,3.4555903866248694,4.703937185372145,PRKCB,0
KEGG_2021_Human,Mineral absorption,1/60,0.2600683562676618,0.4857396382635361,0,0,3.396849854476973,4.574913980988086,SLC8A1,0
KEGG_2021_Human,PI3K-Akt signaling pathway,3/354,0.260632549507307,0.4857396382635361,0,0,1.722530619437836,2.3161899797868197,CSF3R;JAK2;PIK3R5,0
KEGG_2021_Human,Arachidonic acid metabolism,1/61,0.2637791413086752,0.4857396382635361,0,0,3.34006734006734,4.451117734093463,TBXAS1,0
KEGG_2021_Human,Diabetic cardiomyopathy,2/203,0.2697872573969225,0.4874163662785787,0,0,2.000101533150574,2.620376153040449,PRKCB;PLCB1,0
KEGG_2021_Human,Lysine degradation,1/63,0.2711455282609312,0.4874163662785787,0,0,3.231997393287716,4.218078497375417,KMT2C,0
KEGG_2021_Human,Human immunodeficiency virus 1 infection,2/212,0.2864598377883567,0.4929941702116429,0,0,1.913508260447036,2.392185621773637,PRKCB;GNAQ,0
KEGG_2021_Human,Fc epsilon RI signaling pathway,1/68,0.2892437892552286,0.4929941702116429,0,0,2.990049751243781,3.709113016933223,GAB2,0
KEGG_2021_Human,Mitophagy,1/68,0.2892437892552286,0.4929941702116429,0,0,2.990049751243781,3.709113016933223,USP15,0
KEGG_2021_Human,Lipid and atherosclerosis,2/215,0.2920110215935288,0.4929941702116429,0,0,1.8862700009581297,2.3219299603971795,JAK2;PLCB1,0
KEGG_2021_Human,Amphetamine addiction,1/69,0.2928096888806698,0.4929941702116429,0,0,2.9459298871063577,3.6182865561027495,PRKCB,0
KEGG_2021_Human,Prolactin signaling pathway,1/70,0.2963578762035246,0.4929941702116429,0,0,2.9030888596105986,3.530700422312052,JAK2,0
KEGG_2021_Human,Regulation of actin cytoskeleton,2/218,0.2975571550046171,0.4929941702116429,0,0,1.85978835978836,2.254340516440832,DIAPH2;SSH2,0
KEGG_2021_Human,Non-small cell lung cancer,1/72,0.3034014618596549,0.4929941702116429,0,0,2.821027173139849,3.3646345783285243,PRKCB,0
KEGG_2021_Human,p53 signaling pathway,1/73,0.3068970331118836,0.4929941702116429,0,0,2.781705948372615,3.2858706369655613,COP1,0
KEGG_2021_Human,Inositol phosphate metabolism,1/73,0.3068970331118836,0.4929941702116429,0,0,2.781705948372615,3.2858706369655613,PLCB1,0
KEGG_2021_Human,Glioma,1/75,0.3138361616484454,0.4931775316689543,0,0,2.7062517062517064,3.1362323637249645,PRKCB,0
KEGG_2021_Human,Chronic myeloid leukemia,1/76,0.3172798893506643,0.4931775316689543,0,0,2.67003367003367,3.065121123308704,GAB2,0
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,1/77,0.3207065055587057,0.4931775316689543,0,0,2.6347687400318978,2.996335121708695,SLC8A1,0
KEGG_2021_Human,Bacterial invasion of epithelial cells,1/77,0.3207065055587057,0.4931775316689543,0,0,2.6347687400318978,2.996335121708695,ELMO1,0
KEGG_2021_Human,Ras signaling pathway,2/232,0.3233415604981886,0.4931775316689543,0,0,1.7453416149068324,1.9705710590679104,PRKCB;GAB2,0
KEGG_2021_Human,B cell receptor signaling pathway,1/81,0.3342435328543524,0.4994379532119697,0,0,2.5025252525252526,2.742480915944007,PRKCB,0
KEGG_2021_Human,Chemical carcinogenesis,2/239,0.3361522419748238,0.4994379532119697,0,0,1.693188667872212,1.8458992510839436,PRKCB;JAK2,0
KEGG_2021_Human,ErbB signaling pathway,1/85,0.3475134368660721,0.4994379532119697,0,0,2.382876382876383,2.5185858334956643,PRKCB,0
KEGG_2021_Human,Shigellosis,2/246,0.3488933393220386,0.4994379532119697,0,0,1.6440281030444963,1.7311435435085258,ELMO1;PLCB1,0
KEGG_2021_Human,Taste transduction,1/86,0.3507897886854045,0.4994379532119697,0,0,2.354723707664884,2.46673350535558,PLCB1,0
KEGG_2021_Human,Cardiac muscle contraction,1/87,0.3540498524990138,0.4994379532119697,0,0,2.327225745830397,2.4163993335324085,SLC8A1,0
KEGG_2021_Human,Salmonella infection,2/249,0.3543299070983733,0.4994379532119697,0,0,1.6238122779476163,1.6847488521495495,PTPRC;ELMO1,0
KEGG_2021_Human,Endocytosis,2/252,0.3597510046996003,0.4994379532119697,0,0,1.6040816326530611,1.6399218538597402,GRK3;ASAP1,0
KEGG_2021_Human,GABAergic synapse,1/89,0.3605214364245345,0.4994379532119697,0,0,2.2741046831955924,2.32005037808893,PRKCB,0
KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,1/89,0.3605214364245345,0.4994379532119697,0,0,2.2741046831955924,2.32005037808893,JAK2,0
KEGG_2021_Human,Dilated cardiomyopathy,1/96,0.3826705658807354,0.5253023222544642,0,0,2.105794790005316,2.022786046627892,SLC8A1,0
KEGG_2021_Human,Glycerophospholipid metabolism,1/98,0.3888581963975129,0.5284042046884299,0,0,2.062168072477351,1.947801335478516,GPCPD1,0
KEGG_2021_Human,Hematopoietic cell lineage,1/99,0.3919289465238684,0.5284042046884299,0,0,2.0410224695938983,1.9117741389719491,CSF3R,0
KEGG_2021_Human,Longevity regulating pathway,1/102,0.4010498423953424,0.529873395294132,0,0,1.98009800980098,1.8091552855878603,PRKAG2,0
KEGG_2021_Human,Protein digestion and absorption,1/103,0.4040599390731852,0.529873395294132,0,0,1.9605862547039017,1.776667673398047,SLC8A1,0
KEGG_2021_Human,T cell receptor signaling pathway,1/104,0.4070550586365517,0.529873395294132,0,0,1.9414533686378344,1.7449915352070269,PTPRC,0
KEGG_2021_Human,NF-kappa B signaling pathway,1/104,0.4070550586365517,0.529873395294132,0,0,1.9414533686378344,1.7449915352070269,PRKCB,0
KEGG_2021_Human,Th17 cell differentiation,1/107,0.4159512905205901,0.5349891881288594,0,0,1.886220697541452,1.654568493195685,JAK2,0
KEGG_2021_Human,Drug metabolism,1/108,0.4188872357630098,0.5349891881288594,0,0,1.8684980647597471,1.6258801725332537,DPYD,0
